"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"Tennessee","2021-04-26T00:00:00.000","99450","99450"
"Texas","2021-04-26T00:00:00.000","394290","394290"
"U.S. Virgin Islands","2021-04-26T00:00:00.000","2340","2340"
"Utah","2021-04-26T00:00:00.000","40950","40950"
"Vermont","2021-04-26T00:00:00.000","10530","10530"
"Virginia","2021-04-26T00:00:00.000","126360","126360"
"Washington","2021-04-26T00:00:00.000","109980","109980"
"West Virginia","2021-04-26T00:00:00.000","28080","28080"
"Wisconsin","2021-04-26T00:00:00.000","86580","86580"
"Wyoming","2021-04-26T00:00:00.000","9360","9360"
"Alabama","2021-05-03T00:00:00.000","72540","72540"
"Alaska","2021-05-03T00:00:00.000","18720","18720"
"American Samoa","2021-05-03T00:00:00.000","0","0"
"Arizona","2021-05-03T00:00:00.000","102960","102960"
"Arkansas","2021-05-03T00:00:00.000","44460","44460"
"California","2021-05-03T00:00:00.000","575640","575640"
"Chicago","2021-05-03T00:00:00.000","40950","40950"
"Colorado","2021-05-03T00:00:00.000","81900","81900"
"Connecticut","2021-05-03T00:00:00.000","54990","54990"
"Delaware","2021-05-03T00:00:00.000","15210","15210"
"District of Columbia","2021-05-03T00:00:00.000","11700","11700"
"Federal Entities","2021-05-03T00:00:00.000","218790","218790"
"Florida","2021-05-03T00:00:00.000","314730","314730"
"Georgia","2021-05-03T00:00:00.000","149760","149760"
"Guam","2021-05-03T00:00:00.000","0","0"
"Hawaii","2021-05-03T00:00:00.000","22230","22230"
"Idaho","2021-05-03T00:00:00.000","24570","24570"
"Illinois","2021-05-03T00:00:00.000","149760","149760"
"Indiana","2021-05-03T00:00:00.000","97110","97110"
"Iowa","2021-05-03T00:00:00.000","46800","46800"
"Kansas","2021-05-03T00:00:00.000","42120","42120"
"Kentucky","2021-05-03T00:00:00.000","66690","66690"
"Louisiana","2021-05-03T00:00:00.000","69030","69030"
"Maine","2021-05-03T00:00:00.000","21060","21060"
"Mariana Islands","2021-05-03T00:00:00.000","0","0"
"Marshall Islands","2021-05-03T00:00:00.000","0","0"
"Maryland","2021-05-03T00:00:00.000","90090","90090"
"Massachusetts","2021-05-03T00:00:00.000","105300","105300"
"Michigan","2021-05-03T00:00:00.000","148590","148590"
"Micronesia","2021-05-03T00:00:00.000","0","0"
"Minnesota","2021-05-03T00:00:00.000","81900","81900"
"Mississippi","2021-05-03T00:00:00.000","44460","44460"
"Missouri","2021-05-03T00:00:00.000","90090","90090"
"Montana","2021-05-03T00:00:00.000","16380","16380"
"Nebraska","2021-05-03T00:00:00.000","28080","28080"
"Nevada","2021-05-03T00:00:00.000","43290","43290"
"New Hampshire","2021-05-03T00:00:00.000","21060","21060"
"New Jersey","2021-05-03T00:00:00.000","132210","132210"
"New Mexico","2021-05-03T00:00:00.000","31590","31590"
"New York","2021-05-03T00:00:00.000","168480","168480"
"New York City","2021-05-03T00:00:00.000","128700","128700"
"North Carolina","2021-05-03T00:00:00.000","150930","150930"
"North Dakota","2021-05-03T00:00:00.000","11700","11700"
"Ohio","2021-05-03T00:00:00.000","173160","173160"
"Oklahoma","2021-05-03T00:00:00.000","57330","57330"
"Oregon","2021-05-03T00:00:00.000","62010","62010"
"Palau","2021-05-03T00:00:00.000","0","0"
"Pennsylvania","2021-05-03T00:00:00.000","170820","170820"
"Philadelphia","2021-05-03T00:00:00.000","24570","24570"
"Puerto Rico","2021-05-03T00:00:00.000","52650","52650"
"Rhode Island","2021-05-03T00:00:00.000","16380","16380"
"South Carolina","2021-05-03T00:00:00.000","74880","74880"
"South Dakota","2021-05-03T00:00:00.000","12870","12870"
"Tennessee","2021-05-03T00:00:00.000","99450","99450"
"Texas","2021-05-03T00:00:00.000","394290","394290"
"U.S. Virgin Islands","2021-05-03T00:00:00.000","2340","2340"
"Utah","2021-05-03T00:00:00.000","40950","40950"
"Vermont","2021-05-03T00:00:00.000","10530","10530"
"Virginia","2021-05-03T00:00:00.000","126360","126360"
"Washington","2021-05-03T00:00:00.000","109980","109980"
"West Virginia","2021-05-03T00:00:00.000","28080","28080"
"Wisconsin","2021-05-03T00:00:00.000","86580","86580"
"Wyoming","2021-05-03T00:00:00.000","9360","9360"
"Alabama","2021-05-10T00:00:00.000","72540","72540"
"Alaska","2021-05-10T00:00:00.000","16380","16380"
"American Samoa","2021-05-10T00:00:00.000","0","0"
"Arizona","2021-05-10T00:00:00.000","102960","102960"
"Arkansas","2021-05-10T00:00:00.000","44460","44460"
"California","2021-05-10T00:00:00.000","575640","575640"
"Chicago","2021-05-10T00:00:00.000","40950","40950"
"Colorado","2021-05-10T00:00:00.000","81900","81900"
"Connecticut","2021-05-10T00:00:00.000","54990","54990"
"Delaware","2021-05-10T00:00:00.000","15210","15210"
"District of Columbia","2021-05-10T00:00:00.000","11700","11700"
"Federal Entities","2021-05-10T00:00:00.000","218790","218790"
"Florida","2021-05-10T00:00:00.000","314730","314730"
"Georgia","2021-05-10T00:00:00.000","149760","149760"
"Guam","2021-05-10T00:00:00.000","0","0"
"Hawaii","2021-05-10T00:00:00.000","22230","22230"
"Idaho","2021-05-10T00:00:00.000","24570","24570"
"Illinois","2021-05-10T00:00:00.000","149760","149760"
"Indiana","2021-05-10T00:00:00.000","97110","97110"
"Iowa","2021-05-10T00:00:00.000","46800","46800"
"Kansas","2021-05-10T00:00:00.000","42120","42120"
"Kentucky","2021-05-10T00:00:00.000","66690","66690"
"Louisiana","2021-05-10T00:00:00.000","69030","69030"
"Maine","2021-05-10T00:00:00.000","21060","21060"
"Mariana Islands","2021-05-10T00:00:00.000","0","0"
"Marshall Islands","2021-05-10T00:00:00.000","0","0"
"Maryland","2021-05-10T00:00:00.000","90090","90090"
"Massachusetts","2021-05-10T00:00:00.000","105300","105300"
"Michigan","2021-05-10T00:00:00.000","148590","148590"
"Micronesia","2021-05-10T00:00:00.000","0","0"
"Minnesota","2021-05-10T00:00:00.000","81900","81900"
"Mississippi","2021-05-10T00:00:00.000","44460","44460"
"Missouri","2021-05-10T00:00:00.000","90090","90090"
"Montana","2021-05-10T00:00:00.000","16380","16380"
"Nebraska","2021-05-10T00:00:00.000","28080","28080"
"Nevada","2021-05-10T00:00:00.000","43290","43290"
"New Hampshire","2021-05-10T00:00:00.000","21060","21060"
"New Jersey","2021-05-10T00:00:00.000","132210","132210"
"New Mexico","2021-05-10T00:00:00.000","31590","31590"
"New York","2021-05-10T00:00:00.000","168480","168480"
"New York City","2021-05-10T00:00:00.000","128700","128700"
"North Carolina","2021-05-10T00:00:00.000","150930","150930"
"North Dakota","2021-05-10T00:00:00.000","11700","11700"
"Ohio","2021-05-10T00:00:00.000","173160","173160"
"Oklahoma","2021-05-10T00:00:00.000","57330","57330"
"Oregon","2021-05-10T00:00:00.000","62010","62010"
"Palau","2021-05-10T00:00:00.000","0","0"
"Pennsylvania","2021-05-10T00:00:00.000","170820","170820"
"Philadelphia","2021-05-10T00:00:00.000","24570","24570"
"Puerto Rico","2021-05-10T00:00:00.000","52650","52650"
"Rhode Island","2021-05-10T00:00:00.000","16380","16380"
"South Carolina","2021-05-10T00:00:00.000","74880","74880"
"South Dakota","2021-05-10T00:00:00.000","12870","12870"
"Tennessee","2021-05-10T00:00:00.000","99450","99450"
"Texas","2021-05-10T00:00:00.000","394290","394290"
"U.S. Virgin Islands","2021-05-10T00:00:00.000","2340","2340"
"Utah","2021-05-10T00:00:00.000","40950","40950"
"Vermont","2021-05-10T00:00:00.000","10530","10530"
"Virginia","2021-05-10T00:00:00.000","126360","126360"
"Washington","2021-05-10T00:00:00.000","109980","109980"
"West Virginia","2021-05-10T00:00:00.000","28080","28080"
"Wisconsin","2021-05-10T00:00:00.000","86580","86580"
"Wyoming","2021-05-10T00:00:00.000","9360","9360"
"Alabama","2021-05-17T00:00:00.000","72540","72540"
"Alaska","2021-05-17T00:00:00.000","16380","16380"
"American Samoa","2021-05-17T00:00:00.000","0","0"
"Arizona","2021-05-17T00:00:00.000","102960","102960"
"Arkansas","2021-05-17T00:00:00.000","44460","44460"
"California","2021-05-17T00:00:00.000","575640","575640"
"Chicago","2021-05-17T00:00:00.000","40950","40950"
"Colorado","2021-05-17T00:00:00.000","81900","81900"
"Connecticut","2021-05-17T00:00:00.000","54990","54990"
"Delaware","2021-05-17T00:00:00.000","15210","15210"
"District of Columbia","2021-05-17T00:00:00.000","11700","11700"
"Federal Entities","2021-05-17T00:00:00.000","218790","218790"
"Florida","2021-05-17T00:00:00.000","314730","314730"
"Georgia","2021-05-17T00:00:00.000","149760","149760"
"Guam","2021-05-17T00:00:00.000","0","0"
"Hawaii","2021-05-17T00:00:00.000","22230","22230"
"Idaho","2021-05-17T00:00:00.000","24570","24570"
"Illinois","2021-05-17T00:00:00.000","149760","149760"
"Indiana","2021-05-17T00:00:00.000","97110","97110"
"Iowa","2021-05-17T00:00:00.000","46800","46800"
"Kansas","2021-05-17T00:00:00.000","42120","42120"
"Kentucky","2021-05-17T00:00:00.000","66690","66690"
"Louisiana","2021-05-17T00:00:00.000","69030","69030"
"Maine","2021-05-17T00:00:00.000","21060","21060"
"Mariana Islands","2021-05-17T00:00:00.000","0","0"
"Marshall Islands","2021-05-17T00:00:00.000","0","0"
"Maryland","2021-05-17T00:00:00.000","90090","90090"
"Massachusetts","2021-05-17T00:00:00.000","105300","105300"
"Michigan","2021-05-17T00:00:00.000","148590","148590"
"Micronesia","2021-05-17T00:00:00.000","0","0"
"Minnesota","2021-05-17T00:00:00.000","81900","81900"
"Mississippi","2021-05-17T00:00:00.000","44460","44460"
"Missouri","2021-05-17T00:00:00.000","90090","90090"
"Montana","2021-05-17T00:00:00.000","16380","16380"
"Nebraska","2021-05-17T00:00:00.000","28080","28080"
"Nevada","2021-05-17T00:00:00.000","43290","43290"
"New Hampshire","2021-05-17T00:00:00.000","21060","21060"
"New Jersey","2021-05-17T00:00:00.000","132210","132210"
"New Mexico","2021-05-17T00:00:00.000","31590","31590"
"New York","2021-05-17T00:00:00.000","168480","168480"
"New York City","2021-05-17T00:00:00.000","128700","128700"
"North Carolina","2021-05-17T00:00:00.000","150930","150930"
"North Dakota","2021-05-17T00:00:00.000","11700","11700"
"Ohio","2021-05-17T00:00:00.000","173160","173160"
"Oklahoma","2021-05-17T00:00:00.000","57330","57330"
"Oregon","2021-05-17T00:00:00.000","62010","62010"
"Palau","2021-05-17T00:00:00.000","0","0"
"Pennsylvania","2021-05-17T00:00:00.000","170820","170820"
"Philadelphia","2021-05-17T00:00:00.000","24570","24570"
"Puerto Rico","2021-05-17T00:00:00.000","52650","52650"
"Rhode Island","2021-05-17T00:00:00.000","16380","16380"
"South Carolina","2021-05-17T00:00:00.000","74880","74880"
"South Dakota","2021-05-17T00:00:00.000","12870","12870"
"Tennessee","2021-05-17T00:00:00.000","99450","99450"
"Texas","2021-05-17T00:00:00.000","394290","394290"
"U.S. Virgin Islands","2021-05-17T00:00:00.000","2340","2340"
"Utah","2021-05-17T00:00:00.000","40950","40950"
"Vermont","2021-05-17T00:00:00.000","10530","10530"
"Virginia","2021-05-17T00:00:00.000","126360","126360"
"Washington","2021-05-17T00:00:00.000","109980","109980"
"West Virginia","2021-05-17T00:00:00.000","28080","28080"
"Wisconsin","2021-05-17T00:00:00.000","86580","86580"
"Wyoming","2021-05-17T00:00:00.000","9360","9360"
"Alabama","2021-05-24T00:00:00.000","72540","72540"
"Alaska","2021-05-24T00:00:00.000","16380","16380"
"American Samoa","2021-05-24T00:00:00.000","0","0"
"Arizona","2021-05-24T00:00:00.000","102960","102960"
"Arkansas","2021-05-24T00:00:00.000","44460","44460"
"California","2021-05-24T00:00:00.000","575640","575640"
"Chicago","2021-05-24T00:00:00.000","40950","40950"
"Colorado","2021-05-24T00:00:00.000","81900","81900"
"Connecticut","2021-05-24T00:00:00.000","54990","54990"
"Delaware","2021-05-24T00:00:00.000","15210","15210"
"District of Columbia","2021-05-24T00:00:00.000","11700","11700"
"Federal Entities","2021-05-24T00:00:00.000","218790","218790"
"Florida","2021-05-24T00:00:00.000","314730","314730"
"Georgia","2021-05-24T00:00:00.000","149760","149760"
"Guam","2021-05-24T00:00:00.000","0","0"
"Hawaii","2021-05-24T00:00:00.000","22230","22230"
"Idaho","2021-05-24T00:00:00.000","24570","24570"
"Illinois","2021-05-24T00:00:00.000","149760","149760"
"Indiana","2021-05-24T00:00:00.000","97110","97110"
"Iowa","2021-05-24T00:00:00.000","46800","46800"
"Kansas","2021-05-24T00:00:00.000","42120","42120"
"Kentucky","2021-05-24T00:00:00.000","66690","66690"
"Louisiana","2021-05-24T00:00:00.000","69030","69030"
"Maine","2021-05-24T00:00:00.000","21060","21060"
"Mariana Islands","2021-05-24T00:00:00.000","0","0"
"Marshall Islands","2021-05-24T00:00:00.000","0","0"
"Maryland","2021-05-24T00:00:00.000","90090","90090"
"Massachusetts","2021-05-24T00:00:00.000","105300","105300"
"Michigan","2021-05-24T00:00:00.000","148590","148590"
"Micronesia","2021-05-24T00:00:00.000","0","0"
"Minnesota","2021-05-24T00:00:00.000","81900","81900"
"Mississippi","2021-05-24T00:00:00.000","44460","44460"
"Missouri","2021-05-24T00:00:00.000","90090","90090"
"Montana","2021-05-24T00:00:00.000","16380","16380"
"Nebraska","2021-05-24T00:00:00.000","28080","28080"
"Nevada","2021-05-24T00:00:00.000","43290","43290"
"New Hampshire","2021-05-24T00:00:00.000","21060","21060"
"New Jersey","2021-05-24T00:00:00.000","132210","132210"
"New Mexico","2021-05-24T00:00:00.000","31590","31590"
"New York","2021-05-24T00:00:00.000","168480","168480"
"New York City","2021-05-24T00:00:00.000","128700","128700"
"North Carolina","2021-05-24T00:00:00.000","150930","150930"
"North Dakota","2021-05-24T00:00:00.000","11700","11700"
"Ohio","2021-05-24T00:00:00.000","173160","173160"
"Oklahoma","2021-05-24T00:00:00.000","57330","57330"
"Oregon","2021-05-24T00:00:00.000","62010","62010"
"Palau","2021-05-24T00:00:00.000","0","0"
"Pennsylvania","2021-05-24T00:00:00.000","170820","170820"
"Philadelphia","2021-05-24T00:00:00.000","24570","24570"
"Puerto Rico","2021-05-24T00:00:00.000","52650","52650"
"Rhode Island","2021-05-24T00:00:00.000","16380","16380"
"South Carolina","2021-05-24T00:00:00.000","74880","74880"
"South Dakota","2021-05-24T00:00:00.000","12870","12870"
"Tennessee","2021-05-24T00:00:00.000","99450","99450"
"Texas","2021-05-24T00:00:00.000","394290","394290"
"U.S. Virgin Islands","2021-05-24T00:00:00.000","2340","2340"
"Utah","2021-05-24T00:00:00.000","40950","40950"
"Vermont","2021-05-24T00:00:00.000","10530","10530"
"Virginia","2021-05-24T00:00:00.000","126360","126360"
"Washington","2021-05-24T00:00:00.000","109980","109980"
"West Virginia","2021-05-24T00:00:00.000","28080","28080"
"Wisconsin","2021-05-24T00:00:00.000","86580","86580"
"Wyoming","2021-05-24T00:00:00.000","9360","9360"
"Alabama","2021-05-31T00:00:00.000","72090","72090"
"Alaska","2021-05-31T00:00:00.000","16830","16830"
"American Samoa","2021-05-31T00:00:00.000","0","0"
"Arizona","2021-05-31T00:00:00.000","102510","102510"
"Arkansas","2021-05-31T00:00:00.000","44460","44460"
"California","2021-05-31T00:00:00.000","575640","575640"
"Chicago","2021-05-31T00:00:00.000","40770","40770"
"Colorado","2021-05-31T00:00:00.000","82710","82710"
"Connecticut","2021-05-31T00:00:00.000","54360","54360"
"Delaware","2021-05-31T00:00:00.000","15210","15210"
"District of Columbia","2021-05-31T00:00:00.000","11520","11520"
"Federal Entities","2021-05-31T00:00:00.000","218790","218790"
"Florida","2021-05-31T00:00:00.000","314640","314640"
"Georgia","2021-05-31T00:00:00.000","149490","149490"
"Guam","2021-05-31T00:00:00.000","0","0"
"Hawaii","2021-05-31T00:00:00.000","22590","22590"
"Idaho","2021-05-31T00:00:00.000","25110","25110"
"Illinois","2021-05-31T00:00:00.000","149490","149490"
"Indiana","2021-05-31T00:00:00.000","97200","97200"
"Iowa","2021-05-31T00:00:00.000","46530","46530"
"Kansas","2021-05-31T00:00:00.000","42390","42390"
"Kentucky","2021-05-31T00:00:00.000","65880","65880"
"Louisiana","2021-05-31T00:00:00.000","69120","69120"
"Maine","2021-05-31T00:00:00.000","21420","21420"
"Mariana Islands","2021-05-31T00:00:00.000","0","0"
"Marshall Islands","2021-05-31T00:00:00.000","0","0"
"Maryland","2021-05-31T00:00:00.000","89370","89370"
"Massachusetts","2021-05-31T00:00:00.000","104580","104580"
"Michigan","2021-05-31T00:00:00.000","147870","147870"
"Micronesia","2021-05-31T00:00:00.000","0","0"
"Minnesota","2021-05-31T00:00:00.000","81540","81540"
"Mississippi","2021-05-31T00:00:00.000","44460","44460"
"Missouri","2021-05-31T00:00:00.000","89820","89820"
"Montana","2021-05-31T00:00:00.000","16830","16830"
"Nebraska","2021-05-31T00:00:00.000","28800","28800"
"Nevada","2021-05-31T00:00:00.000","42840","42840"
"New Hampshire","2021-05-31T00:00:00.000","21420","21420"
"New Jersey","2021-05-31T00:00:00.000","132210","132210"
"New Mexico","2021-05-31T00:00:00.000","32490","32490"
"New York","2021-05-31T00:00:00.000","167670","167670"
"New York City","2021-05-31T00:00:00.000","128070","128070"
"North Carolina","2021-05-31T00:00:00.000","149940","149940"
"North Dakota","2021-05-31T00:00:00.000","11520","11520"
"Ohio","2021-05-31T00:00:00.000","172530","172530"
"Oklahoma","2021-05-31T00:00:00.000","57600","57600"
"Oregon","2021-05-31T00:00:00.000","62190","62190"
"Palau","2021-05-31T00:00:00.000","0","0"
"Pennsylvania","2021-05-31T00:00:00.000","170460","170460"
"Philadelphia","2021-05-31T00:00:00.000","24660","24660"
"Puerto Rico","2021-05-31T00:00:00.000","52290","52290"
"Rhode Island","2021-05-31T00:00:00.000","17280","17280"
"South Carolina","2021-05-31T00:00:00.000","74160","74160"
"South Dakota","2021-05-31T00:00:00.000","13140","13140"
"Tennessee","2021-05-31T00:00:00.000","98820","98820"
"Texas","2021-05-31T00:00:00.000","393660","393660"
"U.S. Virgin Islands","2021-05-31T00:00:00.000","3240","3240"
"Utah","2021-05-31T00:00:00.000","41220","41220"
"Vermont","2021-05-31T00:00:00.000","11070","11070"
"Virginia","2021-05-31T00:00:00.000","126000","126000"
"Washington","2021-05-31T00:00:00.000","109170","109170"
"West Virginia","2021-05-31T00:00:00.000","28800","28800"
"Wisconsin","2021-05-31T00:00:00.000","85680","85680"
"Wyoming","2021-05-31T00:00:00.000","9450","9450"
"Alabama","2021-06-07T00:00:00.000","72090","72090"
"Alaska","2021-06-07T00:00:00.000","16830","16830"
"American Samoa","2021-06-07T00:00:00.000","0","0"
"Arizona","2021-06-07T00:00:00.000","102510","102510"
"Arkansas","2021-06-07T00:00:00.000","44460","44460"
"California","2021-06-07T00:00:00.000","575640","575640"
"Chicago","2021-06-07T00:00:00.000","40770","40770"
"Colorado","2021-06-07T00:00:00.000","82710","82710"
"Connecticut","2021-06-07T00:00:00.000","54360","54360"
"Delaware","2021-06-07T00:00:00.000","15210","15210"
"District of Columbia","2021-06-07T00:00:00.000","11520","11520"
"Federal Entities","2021-06-07T00:00:00.000","219060","219060"
"Florida","2021-06-07T00:00:00.000","314640","314640"
"Georgia","2021-06-07T00:00:00.000","149490","149490"
"Guam","2021-06-07T00:00:00.000","0","0"
"Hawaii","2021-06-07T00:00:00.000","22590","22590"
"Idaho","2021-06-07T00:00:00.000","25110","25110"
"Illinois","2021-06-07T00:00:00.000","149490","149490"
"Indiana","2021-06-07T00:00:00.000","97200","97200"
"Iowa","2021-06-07T00:00:00.000","46530","46530"
"Kansas","2021-06-07T00:00:00.000","42390","42390"
"Kentucky","2021-06-07T00:00:00.000","65880","65880"
"Louisiana","2021-06-07T00:00:00.000","69120","69120"
"Maine","2021-06-07T00:00:00.000","21420","21420"
"Mariana Islands","2021-06-07T00:00:00.000","0","0"
"Marshall Islands","2021-06-07T00:00:00.000","0","0"
"Maryland","2021-06-07T00:00:00.000","89370","89370"
"Massachusetts","2021-06-07T00:00:00.000","104580","104580"
"Michigan","2021-06-07T00:00:00.000","147870","147870"
"Micronesia","2021-06-07T00:00:00.000","0","0"
"Minnesota","2021-06-07T00:00:00.000","81540","81540"
"Mississippi","2021-06-07T00:00:00.000","44460","44460"
"Missouri","2021-06-07T00:00:00.000","89820","89820"
"Montana","2021-06-07T00:00:00.000","16830","16830"
"Nebraska","2021-06-07T00:00:00.000","28800","28800"
"Nevada","2021-06-07T00:00:00.000","42840","42840"
"New Hampshire","2021-06-07T00:00:00.000","21420","21420"
"New Jersey","2021-06-07T00:00:00.000","132210","132210"
"New Mexico","2021-06-07T00:00:00.000","32490","32490"
"New York","2021-06-07T00:00:00.000","167670","167670"
"New York City","2021-06-07T00:00:00.000","128070","128070"
"North Carolina","2021-06-07T00:00:00.000","149940","149940"
"North Dakota","2021-06-07T00:00:00.000","11520","11520"
"Ohio","2021-06-07T00:00:00.000","172530","172530"
"Oklahoma","2021-06-07T00:00:00.000","57600","57600"
"Oregon","2021-06-07T00:00:00.000","62190","62190"
"Palau","2021-06-07T00:00:00.000","0","0"
"Pennsylvania","2021-06-07T00:00:00.000","170460","170460"
"Philadelphia","2021-06-07T00:00:00.000","24660","24660"
"Puerto Rico","2021-06-07T00:00:00.000","52290","52290"
"Rhode Island","2021-06-07T00:00:00.000","17280","17280"
"South Carolina","2021-06-07T00:00:00.000","74160","74160"
"South Dakota","2021-06-07T00:00:00.000","13140","13140"
"Tennessee","2021-06-07T00:00:00.000","98820","98820"
"Texas","2021-06-07T00:00:00.000","393660","393660"
"U.S. Virgin Islands","2021-06-07T00:00:00.000","3240","3240"
"Utah","2021-06-07T00:00:00.000","41220","41220"
"Vermont","2021-06-07T00:00:00.000","11070","11070"
"Virginia","2021-06-07T00:00:00.000","126000","126000"
"Washington","2021-06-07T00:00:00.000","109170","109170"
"West Virginia","2021-06-07T00:00:00.000","28800","28800"
"Wisconsin","2021-06-07T00:00:00.000","85680","85680"
"Wyoming","2021-06-07T00:00:00.000","9450","9450"
"Alabama","2021-06-14T00:00:00.000","72090","72090"
"Alaska","2021-06-14T00:00:00.000","16830","16830"
"American Samoa","2021-06-14T00:00:00.000","0","0"
"Arizona","2021-06-14T00:00:00.000","102510","102510"
"Arkansas","2021-06-14T00:00:00.000","44460","44460"
"California","2021-06-14T00:00:00.000","575640","575640"
"Chicago","2021-06-14T00:00:00.000","40770","40770"
"Colorado","2021-06-14T00:00:00.000","82710","82710"
"Connecticut","2021-06-14T00:00:00.000","54360","54360"
"Delaware","2021-06-14T00:00:00.000","15210","15210"
"District of Columbia","2021-06-14T00:00:00.000","11520","11520"
"Federal Entities","2021-06-14T00:00:00.000","219060","219060"
"Florida","2021-06-14T00:00:00.000","314640","314640"
"Georgia","2021-06-14T00:00:00.000","149490","149490"
"Guam","2021-06-14T00:00:00.000","0","0"
"Hawaii","2021-06-14T00:00:00.000","22590","22590"
"Idaho","2021-06-14T00:00:00.000","25110","25110"
"Illinois","2021-06-14T00:00:00.000","149490","149490"
"Indiana","2021-06-14T00:00:00.000","97200","97200"
"Iowa","2021-06-14T00:00:00.000","46530","46530"
"Kansas","2021-06-14T00:00:00.000","42390","42390"
"Kentucky","2021-06-14T00:00:00.000","65880","65880"
"Louisiana","2021-06-14T00:00:00.000","69120","69120"
"Maine","2021-06-14T00:00:00.000","21420","21420"
"Mariana Islands","2021-06-14T00:00:00.000","0","0"
"Marshall Islands","2021-06-14T00:00:00.000","0","0"
"Maryland","2021-06-14T00:00:00.000","89370","89370"
"Massachusetts","2021-06-14T00:00:00.000","104580","104580"
"Michigan","2021-06-14T00:00:00.000","147870","147870"
"Micronesia","2021-06-14T00:00:00.000","0","0"
"Minnesota","2021-06-14T00:00:00.000","81540","81540"
"Mississippi","2021-06-14T00:00:00.000","44460","44460"
"Missouri","2021-06-14T00:00:00.000","89820","89820"
"Montana","2021-06-14T00:00:00.000","16830","16830"
"Nebraska","2021-06-14T00:00:00.000","28800","28800"
"Nevada","2021-06-14T00:00:00.000","42840","42840"
"New Hampshire","2021-06-14T00:00:00.000","21420","21420"
"New Jersey","2021-06-14T00:00:00.000","132210","132210"
"New Mexico","2021-06-14T00:00:00.000","32490","32490"
"New York","2021-06-14T00:00:00.000","167670","167670"
"New York City","2021-06-14T00:00:00.000","128070","128070"
"North Carolina","2021-06-14T00:00:00.000","149940","149940"
"North Dakota","2021-06-14T00:00:00.000","11520","11520"
"Ohio","2021-06-14T00:00:00.000","172530","172530"
"Oklahoma","2021-06-14T00:00:00.000","57600","57600"
"Oregon","2021-06-14T00:00:00.000","62190","62190"
"Palau","2021-06-14T00:00:00.000","0","0"
"Pennsylvania","2021-06-14T00:00:00.000","170460","170460"
"Philadelphia","2021-06-14T00:00:00.000","24660","24660"
"Puerto Rico","2021-06-14T00:00:00.000","52290","52290"
"Rhode Island","2021-06-14T00:00:00.000","17280","17280"
"South Carolina","2021-06-14T00:00:00.000","74160","74160"
"South Dakota","2021-06-14T00:00:00.000","13140","13140"
"Tennessee","2021-06-14T00:00:00.000","98820","98820"
"Texas","2021-06-14T00:00:00.000","393660","393660"
"U.S. Virgin Islands","2021-06-14T00:00:00.000","3240","3240"
"Utah","2021-06-14T00:00:00.000","41220","41220"
"Vermont","2021-06-14T00:00:00.000","11070","11070"
"Virginia","2021-06-14T00:00:00.000","126000","126000"
"Washington","2021-06-14T00:00:00.000","109170","109170"
"West Virginia","2021-06-14T00:00:00.000","28800","28800"
"Wisconsin","2021-06-14T00:00:00.000","85680","85680"
"Wyoming","2021-06-14T00:00:00.000","9450","9450"
"Alabama","2021-06-21T00:00:00.000","72090","72090"
"Alaska","2021-06-21T00:00:00.000","16830","16830"
"American Samoa","2021-06-21T00:00:00.000","0","0"
"Arizona","2021-06-21T00:00:00.000","102510","102510"
"Arkansas","2021-06-21T00:00:00.000","44460","44460"
"California","2021-06-21T00:00:00.000","575640","575640"
"Chicago","2021-06-21T00:00:00.000","40770","40770"
"Colorado","2021-06-21T00:00:00.000","82710","82710"
"Connecticut","2021-06-21T00:00:00.000","54360","54360"
"Delaware","2021-06-21T00:00:00.000","15210","15210"
"District of Columbia","2021-06-21T00:00:00.000","11520","11520"
"Federal Entities","2021-06-21T00:00:00.000","219060","219060"
"Florida","2021-06-21T00:00:00.000","314640","314640"
"Georgia","2021-06-21T00:00:00.000","149490","149490"
"Guam","2021-06-21T00:00:00.000","0","0"
"Hawaii","2021-06-21T00:00:00.000","22590","22590"
"Idaho","2021-06-21T00:00:00.000","25110","25110"
"Illinois","2021-06-21T00:00:00.000","149490","149490"
"Indiana","2021-06-21T00:00:00.000","97200","97200"
"Iowa","2021-06-21T00:00:00.000","46530","46530"
"Kansas","2021-06-21T00:00:00.000","42390","42390"
"Kentucky","2021-06-21T00:00:00.000","65880","65880"
"Louisiana","2021-06-21T00:00:00.000","69120","69120"
"Maine","2021-06-21T00:00:00.000","21420","21420"
"Mariana Islands","2021-06-21T00:00:00.000","0","0"
"Marshall Islands","2021-06-21T00:00:00.000","0","0"
"Maryland","2021-06-21T00:00:00.000","89370","89370"
"Massachusetts","2021-06-21T00:00:00.000","104580","104580"
"Michigan","2021-06-21T00:00:00.000","147870","147870"
"Micronesia","2021-06-21T00:00:00.000","0","0"
"Minnesota","2021-06-21T00:00:00.000","81540","81540"
"Mississippi","2021-06-21T00:00:00.000","44460","44460"
"Missouri","2021-06-21T00:00:00.000","89820","89820"
"Montana","2021-06-21T00:00:00.000","16830","16830"
"Nebraska","2021-06-21T00:00:00.000","28800","28800"
"Nevada","2021-06-21T00:00:00.000","42840","42840"
"New Hampshire","2021-06-21T00:00:00.000","21420","21420"
"New Jersey","2021-06-21T00:00:00.000","132210","132210"
"New Mexico","2021-06-21T00:00:00.000","32490","32490"
"New York","2021-06-21T00:00:00.000","167670","167670"
