"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"North Dakota","2021-03-15T00:00:00.000","10530","10530"
"Ohio","2021-03-15T00:00:00.000","155610","155610"
"Oklahoma","2021-03-15T00:00:00.000","51480","51480"
"Oregon","2021-03-15T00:00:00.000","56160","56160"
"Palau","2021-03-15T00:00:00.000","0","0"
"Pennsylvania","2021-03-15T00:00:00.000","153270","153270"
"Philadelphia","2021-03-15T00:00:00.000","22230","22230"
"Puerto Rico","2021-03-15T00:00:00.000","46800","46800"
"Rhode Island","2021-03-15T00:00:00.000","15210","15210"
"South Carolina","2021-03-15T00:00:00.000","66690","66690"
"South Dakota","2021-03-15T00:00:00.000","11700","11700"
"Tennessee","2021-03-15T00:00:00.000","88920","88920"
"Texas","2021-03-15T00:00:00.000","353340","353340"
"U.S. Virgin Islands","2021-03-15T00:00:00.000","2340","2340"
"Utah","2021-03-15T00:00:00.000","37440","37440"
"Vermont","2021-03-15T00:00:00.000","9360","9360"
"Virginia","2021-03-15T00:00:00.000","112320","112320"
"Washington","2021-03-15T00:00:00.000","98280","98280"
"West Virginia","2021-03-15T00:00:00.000","25740","25740"
"Wisconsin","2021-03-15T00:00:00.000","78390","78390"
"Wyoming","2021-03-15T00:00:00.000","8190","8190"
"Alabama","2021-03-22T00:00:00.000","66690","66690"
"Alaska","2021-03-22T00:00:00.000","0","0"
"American Samoa","2021-03-22T00:00:00.000","0","0"
"Arizona","2021-03-22T00:00:00.000","93600","93600"
"Arkansas","2021-03-22T00:00:00.000","39780","39780"
"California","2021-03-22T00:00:00.000","524160","524160"
"Chicago","2021-03-22T00:00:00.000","37440","37440"
"Colorado","2021-03-22T00:00:00.000","74880","74880"
"Connecticut","2021-03-22T00:00:00.000","50310","50310"
"Delaware","2021-03-22T00:00:00.000","14040","14040"
"District of Columbia","2021-03-22T00:00:00.000","10530","10530"
"Federal Entities","2021-03-22T00:00:00.000","195390","195390"
"Florida","2021-03-22T00:00:00.000","286650","286650"
"Georgia","2021-03-22T00:00:00.000","136890","136890"
"Guam","2021-03-22T00:00:00.000","0","0"
"Hawaii","2021-03-22T00:00:00.000","19890","19890"
"Idaho","2021-03-22T00:00:00.000","22230","22230"
"Illinois","2021-03-22T00:00:00.000","136890","136890"
"Indiana","2021-03-22T00:00:00.000","88920","88920"
"Iowa","2021-03-22T00:00:00.000","42120","42120"
"Kansas","2021-03-22T00:00:00.000","38610","38610"
"Kentucky","2021-03-22T00:00:00.000","60840","60840"
"Louisiana","2021-03-22T00:00:00.000","62010","62010"
"Maine","2021-03-22T00:00:00.000","19890","19890"
"Mariana Islands","2021-03-22T00:00:00.000","0","0"
"Marshall Islands","2021-03-22T00:00:00.000","0","0"
"Maryland","2021-03-22T00:00:00.000","81900","81900"
"Massachusetts","2021-03-22T00:00:00.000","95940","95940"
"Michigan","2021-03-22T00:00:00.000","135720","135720"
"Micronesia","2021-03-22T00:00:00.000","0","0"
"Minnesota","2021-03-22T00:00:00.000","74880","74880"
"Mississippi","2021-03-22T00:00:00.000","39780","39780"
"Missouri","2021-03-22T00:00:00.000","83070","83070"
"Montana","2021-03-22T00:00:00.000","15210","15210"
"Nebraska","2021-03-22T00:00:00.000","25740","25740"
"Nevada","2021-03-22T00:00:00.000","39780","39780"
"New Hampshire","2021-03-22T00:00:00.000","19890","19890"
"New Jersey","2021-03-22T00:00:00.000","120510","120510"
"New Mexico","2021-03-22T00:00:00.000","29250","29250"
"New York","2021-03-22T00:00:00.000","153270","153270"
"New York City","2021-03-22T00:00:00.000","117000","117000"
"North Carolina","2021-03-22T00:00:00.000","138060","138060"
"North Dakota","2021-03-22T00:00:00.000","10530","10530"
"Ohio","2021-03-22T00:00:00.000","157950","157950"
"Oklahoma","2021-03-22T00:00:00.000","52650","52650"
"Oregon","2021-03-22T00:00:00.000","57330","57330"
"Palau","2021-03-22T00:00:00.000","0","0"
"Pennsylvania","2021-03-22T00:00:00.000","155610","155610"
"Philadelphia","2021-03-22T00:00:00.000","22230","22230"
"Puerto Rico","2021-03-22T00:00:00.000","47970","47970"
"Rhode Island","2021-03-22T00:00:00.000","15210","15210"
"South Carolina","2021-03-22T00:00:00.000","67860","67860"
"South Dakota","2021-03-22T00:00:00.000","11700","11700"
"Tennessee","2021-03-22T00:00:00.000","90090","90090"
