"state_name","month","total_cases","total_deaths"
"Indiana","2020-07","1745006.0","86855.0"
"Indiana","2020-08","2546792.0","97177.0"
"Indiana","2020-09","3167844.0","100284.0"
"Iowa","2020-03","2794.0","26.0"
"Iowa","2020-04","83724.0","1947.0"
"Iowa","2020-05","441186.0","10769.0"
"Iowa","2020-06","731691.0","19631.0"
"Iowa","2020-07","1152156.0","24212.0"
"Iowa","2020-08","1651099.0","30669.0"
"Iowa","2020-09","2223686.0","35858.0"
"Kansas","2020-03","2408.0","60.0"
"Kansas","2020-04","55555.0","2241.0"
"Kansas","2020-05","241100.0","5676.0"
"Kansas","2020-06","355114.0","7457.0"
"Kansas","2020-07","663964.0","9654.0"
"Kansas","2020-08","1086757.0","12644.0"
"Kansas","2020-09","1493490.0","16130.0"
"Kentucky","2020-03","3398.0","84.0"
"Kentucky","2020-04","74780.0","3889.0"
"Kentucky","2020-05","234711.0","10848.0"
"Kentucky","2020-06","389689.0","15726.0"
"Kentucky","2020-07","694134.0","20877.0"
"Kentucky","2020-08","1272814.0","26308.0"
"Kentucky","2020-09","1800541.0","32041.0"
"Louisiana","2020-03","28913.0","1137.0"
"Louisiana","2020-04","625639.0","32872.0"
"Louisiana","2020-05","1061231.0","75798.0"
"Louisiana","2020-06","1436753.0","91082.0"
"Louisiana","2020-07","2696554.0","109304.0"
"Louisiana","2020-08","4228513.0","139101.0"
"Louisiana","2020-09","4610476.0","152430.0"
"Maine","2020-03","2110.0","13.0"
"Maine","2020-04","22358.0","843.0"
"Maine","2020-05","52158.0","2180.0"
"Maine","2020-06","84057.0","3010.0"
"Maine","2020-07","112034.0","3546.0"
"Maine","2020-08","129919.0","3951.0"
"Maine","2020-09","143011.0","3967.0"
"Maryland","2020-03","8831.0","84.0"
"Maryland","2020-04","327492.0","13760.0"
"Maryland","2020-05","1190664.0","59244.0"
"Maryland","2020-06","1867000.0","88044.0"
"Maryland","2020-07","2391813.0","103834.0"
"Maryland","2020-08","3103859.0","112721.0"
"Maryland","2020-09","3407537.0","111720.0"
"Massachusetts","2020-02","29.0","0.0"
"Massachusetts","2020-03","34418.0","340.0"
"Massachusetts","2020-04","977699.0","42952.0"
"Massachusetts","2020-05","2582585.0","170827.0"
"Massachusetts","2020-06","3164865.0","228975.0"
"Massachusetts","2020-07","3498717.0","259483.0"
"Massachusetts","2020-08","3824563.0","273880.0"
"Massachusetts","2020-09","3653577.0","267897.0"
"Michigan","2020-03","39225.0","967.0"
"Michigan","2020-04","818293.0","59519.0"
"Michigan","2020-05","1558908.0","148969.0"
"Michigan","2020-06","1981377.0","179464.0"
"Michigan","2020-07","2483179.0","196370.0"
"Michigan","2020-08","3165462.0","204451.0"
"Michigan","2020-09","3625980.0","200806.0"
"Minnesota","2020-03","4480.0","47.0"
"Minnesota","2020-04","65270.0","3818.0"
"Minnesota","2020-05","469404.0","21878.0"
"Minnesota","2020-06","925287.0","39472.0"
"Minnesota","2020-07","1388670.0","48459.0"
"Minnesota","2020-08","2020252.0","54441.0"
"Minnesota","2020-09","2509589.0","57311.0"
"Mississippi","2020-03","5791.0","88.0"
"Mississippi","2020-04","109721.0","3972.0"
"Mississippi","2020-05","344072.0","15804.0"
"Mississippi","2020-06","614642.0","27336.0"
"Mississippi","2020-07","1279092.0","40931.0"
"Mississippi","2020-08","2235453.0","64526.0"
"Mississippi","2020-09","2635983.0","79156.0"
"Missouri","2020-03","6536.0","96.0"
"Missouri","2020-04","144460.0","5056.0"
"Missouri","2020-05","334500.0","17904.0"
"Missouri","2020-06","517729.0","27450.0"
"Missouri","2020-07","1053738.0","35764.0"
"Missouri","2020-08","2120155.0","45188.0"
"Missouri","2020-09","3123493.0","54066.0"
"Montana","2020-03","1200.0","12.0"
"Montana","2020-04","11538.0","280.0"
"Montana","2020-05","14576.0","502.0"
"Montana","2020-06","19781.0","581.0"
"Montana","2020-07","71052.0","1109.0"
"Montana","2020-08","177325.0","2566.0"
"Montana","2020-09","281291.0","4097.0"
"Nebraska","2020-02","151.0","0.0"
"Nebraska","2020-03","1682.0","13.0"
"Nebraska","2020-04","44916.0","866.0"
"Nebraska","2020-05","305559.0","3841.0"
"Nebraska","2020-06","508068.0","6926.0"
"Nebraska","2020-07","691529.0","9469.0"
"Nebraska","2020-08","939396.0","11402.0"
"Nebraska","2020-09","1141118.0","13026.0"
"Nevada","2020-03","6859.0","123.0"
"Nevada","2020-04","97660.0","4029.0"
"Nevada","2020-05","213197.0","10678.0"
"Nevada","2020-06","365782.0","14008.0"
"Nevada","2020-07","1014765.0","19854.0"
"Nevada","2020-08","1877885.0","33381.0"
"Nevada","2020-09","2157343.0","42810.0"
"New Hampshire","2020-03","2232.0","17.0"
"New Hampshire","2020-04","36795.0","1009.0"
"New Hampshire","2020-05","109009.0","5085.0"
"New Hampshire","2020-06","159771.0","9573.0"
"New Hampshire","2020-07","190987.0","12246.0"
"New Hampshire","2020-08","215935.0","13146.0"
"New Hampshire","2020-09","224816.0","12641.0"
"New Jersey","2020-03","92534.0","1165.0"
"New Jersey","2020-04","2186635.0","102708.0"
"New Jersey","2020-05","4470485.0","308935.0"
"New Jersey","2020-06","5021309.0","388821.0"
"New Jersey","2020-07","5527664.0","482461.0"
"New Jersey","2020-08","5859177.0","492942.0"
"New Jersey","2020-09","5788149.0","465156.0"
"New Mexico","2020-03","1989.0","16.0"
"New Mexico","2020-04","49429.0","1472.0"
"New Mexico","2020-05","177992.0","7739.0"
"New Mexico","2020-06","298314.0","13155.0"
"New Mexico","2020-07","504146.0","17513.0"
"New Mexico","2020-08","721859.0","22130.0"
"New Mexico","2020-09","786243.0","24102.0"
"New York","2020-03","464981.0","7943.0"
"New York","2020-04","6328973.0","425198.0"
"New York","2020-05","1.0850463E7","854088.0"
"New York","2020-06","1.1656829E7","918476.0"
"New York","2020-07","1.2690287E7","995461.0"
"New York","2020-08","1.3329072E7","1005469.0"
"New York","2020-09","1.3072293E7","946791.0"
"North Carolina","2020-03","8617.0","32.0"
"North Carolina","2020-04","168317.0","4804.0"
"North Carolina","2020-05","573602.0","20390.0"
"North Carolina","2020-06","1381996.0","34879.0"
"North Carolina","2020-07","2908111.0","50375.0"
"North Carolina","2020-08","4509937.0","73585.0"
"North Carolina","2020-09","5468978.0","91214.0"
"North Dakota","2020-03","787.0","9.0"
"North Dakota","2020-04","14825.0","296.0"
"North Dakota","2020-05","57787.0","1330.0"
"North Dakota","2020-06","93310.0","2366.0"
"North Dakota","2020-07","149692.0","2956.0"
"North Dakota","2020-08","273194.0","3967.0"
"North Dakota","2020-09","474871.0","5351.0"
"Ohio","2020-03","12114.0","219.0"
"Ohio","2020-04","287164.0","12517.0"
"Ohio","2020-05","847509.0","49709.0"
"Ohio","2020-06","1279993.0","77119.0"
"Ohio","2020-07","2204116.0","97128.0"
"Ohio","2020-08","3343527.0","118706.0"
"Ohio","2020-09","4036411.0","130110.0"
"Oklahoma","2020-03","3069.0","101.0"
"Oklahoma","2020-04","67883.0","3692.0"
"Oklahoma","2020-05","160500.0","8877.0"
"Oklahoma","2020-06","277672.0","10849.0"
"Oklahoma","2020-07","738132.0","13870.0"
"Oklahoma","2020-08","1492560.0","20766.0"
"Oklahoma","2020-09","2091413.0","26540.0"
"Oregon","2020-02","2.0","0.0"
"Oregon","2020-03","4621.0","129.0"
"Oregon","2020-04","50484.0","1829.0"
"Oregon","2020-05","108485.0","4161.0"
"Oregon","2020-06","184416.0","5420.0"
"Oregon","2020-07","421377.0","7946.0"
"Oregon","2020-08","713551.0","12219.0"
"Oregon","2020-09","866522.0","14897.0"
"Pennsylvania","2020-03","23859.0","268.0"
"Pennsylvania","2020-04","822697.0","30595.0"
"Pennsylvania","2020-05","1994490.0","134081.0"
"Pennsylvania","2020-06","2516170.0","188226.0"
"Pennsylvania","2020-07","3210520.0","217270.0"
"Pennsylvania","2020-08","3985340.0","233003.0"
"Pennsylvania","2020-09","4380168.0","231359.0"
"Puerto Rico","2020-03","995.0","35.0"
"Puerto Rico","2020-04","28004.0","1450.0"
"Puerto Rico","2020-05","81768.0","3633.0"
"Puerto Rico","2020-06","174784.0","4380.0"
"Puerto Rico","2020-07","353563.0","5485.0"
"Puerto Rico","2020-08","802706.0","10262.0"
"Puerto Rico","2020-09","1138279.0","16042.0"
"Rhode Island","2020-03","2570.0","17.0"
"Rhode Island","2020-04","119603.0","3459.0"
"Rhode Island","2020-05","381262.0","15471.0"
"Rhode Island","2020-06","481310.0","25484.0"
"Rhode Island","2020-07","549884.0","30536.0"
"Rhode Island","2020-08","635058.0","31771.0"
"Rhode Island","2020-09","674033.0","31308.0"
"South Carolina","2020-03","6329.0","127.0"
"South Carolina","2020-04","113247.0","3284.0"
"South Carolina","2020-05","269994.0","11736.0"
"South Carolina","2020-06","636483.0","18424.0"
"South Carolina","2020-07","1978230.0","35108.0"
"South Carolina","2020-08","3278566.0","70086.0"
"South Carolina","2020-09","3869260.0","89503.0"
"South Dakota","2020-03","711.0","22.0"
"South Dakota","2020-04","36231.0","211.0"
"South Dakota","2020-05","118915.0","1278.0"
"South Dakota","2020-06","177958.0","2282.0"
"South Dakota","2020-07","240095.0","3471.0"
"South Dakota","2020-08","326993.0","4707.0"
"South Dakota","2020-09","506722.0","5523.0"
"Tennessee","2020-03","12360.0","59.0"
"Tennessee","2020-04","187332.0","3741.0"
"Tennessee","2020-05","536423.0","8850.0"
"Tennessee","2020-06","956724.0","14450.0"
"Tennessee","2020-07","2204796.0","24839.0"
"Tennessee","2020-08","4014961.0","42831.0"
"Tennessee","2020-09","5018474.0","60253.0"
"Texas","2020-02","91.0","0.0"
"Texas","2020-03","20623.0","270.0"
"Texas","2020-04","494349.0","12274.0"
"Texas","2020-05","1463433.0","40047.0"
"Texas","2020-06","3090759.0","62054.0"
"Texas","2020-07","9496585.0","126673.0"
"Texas","2020-08","1.7220155E7","320762.0"
"Texas","2020-09","2.0507223E7","424161.0"
"United States Virgin Islands","2020-03","230.0","0.0"
"United States Virgin Islands","2020-04","1530.0","60.0"
"United States Virgin Islands","2020-05","2122.0","167.0"
"United States Virgin Islands","2020-06","2250.0","180.0"
"United States Virgin Islands","2020-07","7748.0","199.0"
"United States Virgin Islands","2020-08","23904.0","319.0"
"United States Virgin Islands","2020-09","35754.0","528.0"
"Utah","2020-02","5.0","0.0"
"Utah","2020-03","5562.0","20.0"
"Utah","2020-04","82277.0","722.0"
"Utah","2020-05","221484.0","2472.0"
"Utah","2020-06","464269.0","4294.0"
"Utah","2020-07","988673.0","7305.0"
"Utah","2020-08","1445189.0","11327.0"
"Utah","2020-09","1757376.0","12618.0"
"Vermont","2020-03","1850.0","93.0"
"Vermont","2020-04","21158.0","958.0"
"Vermont","2020-05","29029.0","1651.0"
"Vermont","2020-06","33551.0","1663.0"
"Vermont","2020-07","41004.0","1738.0"
"Vermont","2020-08","46881.0","1793.0"
"Vermont","2020-09","49025.0","1682.0"
"Virginia","2020-03","6976.0","162.0"
"Virginia","2020-04","223907.0","7019.0"
"Virginia","2020-05","925038.0","30676.0"
"Virginia","2020-06","1642638.0","47026.0"
"Virginia","2020-07","2327029.0","61600.0"
"Virginia","2020-08","3290611.0","74173.0"
"Virginia","2020-09","3921539.0","83275.0"
"Washington","2020-01","11.0","0.0"
"Washington","2020-02","60.0","1.0"
"Washington","2020-03","46214.0","2377.0"
"Washington","2020-04","327552.0","16938.0"
"Washington","2020-05","594493.0","30824.0"
"Washington","2020-06","845988.0","36893.0"
"Washington","2020-07","1439072.0","46101.0"
"Washington","2020-08","2150641.0","57397.0"
"Washington","2020-09","2445938.0","61147.0"
"West Virginia","2020-03","866.0","3.0"
"West Virginia","2020-04","21315.0","515.0"
"West Virginia","2020-05","47442.0","1951.0"
"West Virginia","2020-06","71793.0","2613.0"
"West Virginia","2020-07","145677.0","3101.0"
"West Virginia","2020-08","262522.0","4966.0"
"West Virginia","2020-09","378648.0","8228.0"
"Wisconsin","2020-02","25.0","0.0"
"Wisconsin","2020-03","9353.0","135.0"
"Wisconsin","2020-04","119648.0","5402.0"
"Wisconsin","2020-05","391353.0","13922.0"
"Wisconsin","2020-06","761387.0","21236.0"
"Wisconsin","2020-07","1357567.0","26417.0"
"Wisconsin","2020-08","2165905.0","32504.0"
"Wisconsin","2020-09","2901676.0","35560.0"
"Wyoming","2020-03","776.0","0.0"
"Wyoming","2020-04","10987.0","82.0"
"Wyoming","2020-05","22780.0","300.0"
"Wyoming","2020-06","33714.0","555.0"
"Wyoming","2020-07","63980.0","710.0"
"Wyoming","2020-08","102356.0","991.0"
"Wyoming","2020-09","134108.0","1325.0"
