"country_name","month","deaths_on_last_day"
"Burkina Faso","2020-08","55.0"
"Burkina Faso","2020-09","58.0"
"Burundi","2020-05","1.0"
"Burundi","2020-06","1.0"
"Burundi","2020-07","1.0"
"Burundi","2020-08","1.0"
"Burundi","2020-09","1.0"
"Cambodia","2020-05","0.0"
"Cambodia","2020-06","0.0"
"Cambodia","2020-07","0.0"
"Cambodia","2020-08","0.0"
"Cambodia","2020-09","0.0"
"Cameroon","2020-05","191.0"
"Cameroon","2020-06","313.0"
"Cameroon","2020-07","387.0"
"Cameroon","2020-08","411.0"
"Cameroon","2020-09","418.0"
"Canada","2020-05","7073.0"
"Canada","2020-06","8566.0"
"Canada","2020-07","8929.0"
"Canada","2020-08","9117.0"
"Canada","2020-09","9291.0"
"Cape Verde","2020-05","4.0"
"Cape Verde","2020-06","12.0"
"Cape Verde","2020-07","23.0"
"Cape Verde","2020-08","40.0"
"Cape Verde","2020-09","59.0"
"Cayman Islands","2020-05","1.0"
"Cayman Islands","2020-06","1.0"
"Cayman Islands","2020-07","1.0"
"Cayman Islands","2020-08","1.0"
"Cayman Islands","2020-09","1.0"
"Central African Republic","2020-05","1.0"
"Central African Republic","2020-06","47.0"
"Central African Republic","2020-07","59.0"
"Central African Republic","2020-08","61.0"
"Central African Republic","2020-09","62.0"
"Chad","2020-05","65.0"
"Chad","2020-06","74.0"
"Chad","2020-07","75.0"
"Chad","2020-08","77.0"
"Chad","2020-09","85.0"
"Chile","2020-05","997.0"
"Chile","2020-06","5575.0"
"Chile","2020-07","9377.0"
"Chile","2020-08","11244.0"
"Chile","2020-09","12725.0"
"China","2020-05","4638.0"
"China","2020-06","4641.0"
"China","2020-07","4659.0"
"China","2020-08","4722.0"
"China","2020-09","4739.0"
"Colombia","2020-05","890.0"
"Colombia","2020-06","3223.0"
"Colombia","2020-07","9810.0"
"Colombia","2020-08","19364.0"
"Colombia","2020-09","25828.0"
"Comoros","2020-05","2.0"
"Comoros","2020-06","7.0"
"Comoros","2020-07","7.0"
"Comoros","2020-08","7.0"
"Comoros","2020-09","7.0"
"Congo","2020-05","19.0"
"Congo","2020-06","40.0"
"Congo","2020-07","56.0"
"Congo","2020-08","78.0"
"Congo","2020-09","89.0"
"Costa Rica","2020-05","10.0"
"Costa Rica","2020-06","15.0"
"Costa Rica","2020-07","140.0"
"Costa Rica","2020-08","418.0"
"Costa Rica","2020-09","880.0"
"Cote d'Ivoire","2020-05","33.0"
"Cote d'Ivoire","2020-06","66.0"
"Cote d'Ivoire","2020-07","100.0"
"Cote d'Ivoire","2020-08","115.0"
"Cote d'Ivoire","2020-09","120.0"
"Croatia","2020-05","103.0"
"Croatia","2020-06","107.0"
"Croatia","2020-07","144.0"
"Croatia","2020-08","184.0"
"Croatia","2020-09","275.0"
"Cuba","2020-05","83.0"
"Cuba","2020-06","86.0"
"Cuba","2020-07","87.0"
"Cuba","2020-08","94.0"
"Cuba","2020-09","122.0"
"Curacao","2020-05","1.0"
"Curacao","2020-06","1.0"
"Curacao","2020-07","1.0"
"Curacao","2020-08","1.0"
"Curacao","2020-09","1.0"
"Cyprus","2020-05","17.0"
"Cyprus","2020-06","19.0"
"Cyprus","2020-07","19.0"
"Cyprus","2020-08","21.0"
"Cyprus","2020-09","22.0"
"Czech Republic","2020-05","319.0"
"Czech Republic","2020-06","348.0"
"Czech Republic","2020-07","379.0"
"Czech Republic","2020-08","423.0"
"Czech Republic","2020-09","636.0"
"Democratic Republic of Congo","2020-05","69.0"
"Democratic Republic of Congo","2020-06","167.0"
"Democratic Republic of Congo","2020-07","214.0"
"Democratic Republic of Congo","2020-08","257.0"
"Democratic Republic of Congo","2020-09","271.0"
"Denmark","2020-05","571.0"
"Denmark","2020-06","605.0"
"Denmark","2020-07","615.0"
"Denmark","2020-08","624.0"
"Denmark","2020-09","650.0"
"Djibouti","2020-05","22.0"
"Djibouti","2020-06","53.0"
"Djibouti","2020-07","58.0"
"Djibouti","2020-08","60.0"
"Djibouti","2020-09","61.0"
"Dominica","2020-05","0.0"
"Dominica","2020-06","0.0"
